Processes: 384 total, 3 running, 381 sleeping, 1581 threads 
2019/10/10 08:50:40
Load Avg: 1.29, 1.31, 1.38 
CPU usage: 6.95% user, 9.56% sys, 83.47% idle 
SharedLibs: 322M resident, 50M data, 32M linkedit.
MemRegions: 80008 total, 3302M resident, 134M private, 1742M shared.
PhysMem: 11G used (2456M wired), 5439M unused.
VM: 2561G vsize, 1371M framework vsize, 839190(0) swapins, 1132923(0) swapouts.
Networks: packets: 473279/498M in, 596356/65M out.
Disks: 785930/11G read, 255904/8490M written.

PID   COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
3074  mdworker_shared  0.0  00:01.03 4      1   60+    10M+   0B     1936K+ 3074 1    sleeping *0[1+]      0.00000 0.00000    501 62070+   189+   4104+     1676+     14718+    10269+    2201+     223+    3       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
3073  mdworker_shared  0.0  00:01.51 4      1   60+    11M+   0B     2576K+ 3073 1    sleeping *0[1+]      0.00000 0.00000    501 102769+  189+   4826+     1909+     20501+    15593+    2745+     916+    4       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2973  plugin_host      0.0  00:00.33 5      1   40+    16M+   0B     13M+   2971 2971 sleeping *0[4+]      0.00000 0.00000    501 8117+    323+   439+      162+      18067+    1046+     1765+     785+    2       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2971  Sublime Text     0.0  00:14.68 12     2   622+   74M+   888K+  30M+   2971 1    sleeping  0[471+]    0.00000 0.00000    501 140843+  613+   138579+   41525+    234429+   302131+   87922+    2886+   2848    0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2928  clangd           0.0  00:06.86 2      0   15+    32M+   0B     4180K+ 2842 2842 sleeping *0[1+]      0.00000 0.00000    501 104655+  352+   33+       14+       232810+   1649+     11006+    5581+   0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2917  fsnotifier       0.0  00:00.30 3      1   32+    936K+  0B     624K+  2842 2842 sleeping *0[1+]      0.00000 0.00000    501 11461+   119+   5413+     24+       7990+     17295+    2974+     48+     1       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2842  clion            0.0  03:56.50 57     1   417+   1187M+ 2716K+ 253M+  2842 1    sleeping  0[405+]    0.00000 0.00000    501 1430637+ 20616+ 177645+   63441+    1497907+  430975+   596938+   8473+   33049   0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2789  com.apple.WebKit 0.0  00:07.90 4      1   124+   158M+  41M+   117M+  2789 1    sleeping  0[218+]    0.00000 0.00000    501 119943+  1900+  45205+    21640+    86352+    204972+   54353+    1218+   1927    0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2777  VTDecoderXPCServ 0.0  00:00.09 2      1   64+    6552K+ 0B     5316K+ 2777 1    sleeping *0[12+]     0.00000 0.00000    501 6463+    230+   3997+     1713+     1642+     3340+     1211+     109+    5       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2757  Preview          0.0  00:32.49 5      2   347+   79M+   1536K+ 40M+   2757 1    sleeping  0[1274+]   0.00000 0.00000    501 419103+  617+   428653+   114574+   215884+   1095922+  228858+   2825+   3607    0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2753  QuickLookUIServi 0.0  00:00.60 3      1   157+   9808K+ 0B     6560K+ 2753 1    sleeping  0[545+]    0.00000 0.00000    501 11013+   581+   8238+     2763+     10852+    20168+    9111+     58+     182     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2751  SandboxedService 0.0  00:00.04 2      1   52+    1788K+ 0B     1168K+ 2751 1    sleeping *0[2+]      0.00000 0.00000    501 3896+    162+   375+      228+      1066+     1005+     1226+     2+      1       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2673  Calendar         0.0  00:04.11 3      1   312+   39M+   56K+   12M+   2673 1    sleeping  0[438+]    0.00000 0.00000    501 48296+   652+   26561+    7249+     55039+    59775+    34390+    1176+   314     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2658  mdwrite          0.0  00:00.06 3      3   70+    2852K+ 0B     336K+  2658 1    sleeping *0[1+]      0.00000 0.00000    501 3852+    184+   331+      168+      2266+     679+      633+      18+     13      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2632  IMAutomaticHisto 0.0  00:00.10 2      2   65+    2276K+ 0B     1208K+ 2632 1    sleeping  0[0]       0.00000 0.00000    501 6115+    184+   383+      216+      1777+     969+      1773+     7+      14      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2621  FMIPClientXPCSer 0.0  00:00.34 3      1   70+    10M+   0B     9180K+ 2621 1    sleeping *0[5+]      0.00000 0.00000    501 7188+    283+   569+      910+      6840+     2104+     5797+     175+    629     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2620  siriknowledged   0.0  00:00.09 2      2   44+    2268K+ 0B     1460K+ 2620 1    sleeping *0[1+]      0.00000 0.00000    501 4747+    210+   261+      186+      1706+     693+      1256+     44+     8       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2619  com.apple.iTunes 0.0  00:00.10 2      2   47+    2624K+ 0B     1640K+ 2619 1    sleeping  0[0]       0.00000 0.00000    501 4100+    185+   198+      400+      2096+     807+      1585+     77+     11      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2434  mdworker_shared  0.0  00:06.18 4      1   60+    12M+   0B     3416K+ 2434 1    sleeping *0[1+]      0.00000 0.00000    501 375595+  189+   18178+    7145+     78170+    59449+    8931+     2324+   8       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2374  com.apple.MediaL 0.0  00:00.27 2      1   92+    7224K+ 0B     5512K+ 2374 1    sleeping *0[14+]     0.00000 0.00000    501 10949+   684+   935+      708+      6104+     2518+     3620+     780+    11      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2368  system_installd  0.0  00:00.59 2      1   34+    2024K+ 0B     1568K+ 2368 1    sleeping *0[1+]      0.00000 0.00000    0   3399+    164+   211+      163+      21531+    764+      1279+     12+     2       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2367  sysdiagnose      0.0  00:00.04 2      2   31+    1616K+ 0B     1164K+ 2367 1    sleeping *0[1+]      0.00000 0.00000    0   2550+    167+   102+      132+      1028+     344+      555+      60+     7       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2366  com.apple.quickl 0.0  00:00.03 2      1   38+    1460K+ 0B     1012K+ 2366 1    sleeping *0[1+]      0.00000 0.00000    501 2482+    143+   226+      167+      848+      810+      412+      25+     1       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2365  installd         0.0  00:00.03 2      1   34+    1540K+ 0B     1136K+ 2365 1    sleeping *0[1+]      0.00000 0.00000    0   3197+    162+   199+      161+      788+      729+      359+      11+     1       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
2363  deleted          0.0  00:00.14 2      2   50+    3920K+ 0B     3412K+ 2363 1    sleeping *0[4+]      0.00000 0.00000    501 4280+    173+   1149+     482+      4859+     2064+     1446+     149+    12      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2305  fsnotifier       0.0  00:00.55 3      1   32+    876K+  0B     564K+  2232 2232 sleeping *0[1+]      0.00000 0.00000    501 19688+   119+   10317+    28+       14360+    31713+    5057+     22+     0       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2232  idea             0.0  03:40.56 59     1   417+   1136M+ 128K+  738M+  2232 1    sleeping  0[352+]    0.00000 0.00000    501 1124206+ 770+   90734+    31760+    1112192+  238001+   559261+   12840+  12277   0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2093  com.apple.Dictio 0.0  00:00.06 2      2   31+    2140K+ 0B     1716K+ 2093 1    sleeping *0[1+]      0.00000 0.00000    501 2488+    138+   1220+     320+      3193+     2584+     1456+     0       10      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2014  assistant_servic 0.0  00:01.98 2      1   86+    13M+   0B     11M+   2014 1    sleeping *0[12+]     0.00000 0.00000    501 26978+   639+   1611+     627+      58465+    3068+     8326+     750+    19      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2013  contactsdonation 0.0  00:00.18 2      1   68+    5456K+ 0B     4596K+ 2013 1    sleeping *0[4+]      0.00000 0.00000    501 6083+    299+   725+      361+      7061+     1842+     2785+     98+     12      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2012  recentsd         0.0  00:00.12 2      1   65+    2704K+ 0B     1260K+ 2012 1    sleeping *0[9+]      0.00000 0.00000    501 5613+    196+   778+      459+      3404+     1966+     2211+     82+     12      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
2010  heard            0.0  00:00.12 2      1   71+    3960K+ 0B     2752K+ 2010 1    sleeping *0[12+]     0.00000 0.00000    501 8261+    204+   607+      325+      3610+     1622+     2632+     87+     10      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
1992  ACCFinderSync    0.0  00:00.77 4      1   213+   13M+   0B     9128K+ 1992 1    sleeping *0[148+]    0.00000 0.00000    501 21037+   269+   8108+     2974+     12754+    21376+    12136+    28+     618     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
1989  com.apple.appkit 0.0  00:04.16 3      1   317+   34M+   0B     17M+   1989 1    sleeping  0[751+]    0.00000 0.00000    501 33926+   426+   24857+    9178+     54041+    50660+    24251+    1113+   315     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
1637  mdworker         0.0  00:00.04 2      1   39+    2760K+ 0B     2356K+ 1637 1    sleeping *0[1+]      0.00000 0.00000    89  3569+    179+   235+      172+      801+      834+      280+      20+     0       0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
1634  storeinstalld    0.0  00:00.04 2      1   32+    1336K+ 0B     936K+  1634 1    sleeping  0[0]       0.00000 0.00000    0   3778+    157+   184+      164+      877+      696+      262+      1+      2       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
1628  mapspushd        0.0  00:00.27 2      1   86+    5876K+ 0B     4896K+ 1628 1    sleeping *0[10+]     0.00000 0.00000    501 7345+    228+   738+      1108+     5180+     2668+     5313+     48+     62      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
1332  PowerChime       0.0  00:01.01 3      1   250+   7896K+ 0B     4196K+ 1332 1    sleeping *0[1+]      0.00000 0.00000    501 10170+   318+   11493+    5344+     17910+    33940+    22226+    194+    989     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
1000  secinitd         0.0  00:00.13 2      2   38+    3940K+ 0B     3040K+ 1000 1    sleeping  0[0]       0.00000 0.00000    0   3941+    179+   136+      619+      3017+     902+      2531+     0       22      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
999   com.apple.geod   0.0  00:00.69 4      1   51+    8352K+ 0B     5540K+ 999  1    sleeping *0[7+]      0.00000 0.00000    0   9162+    216+   938+      940+      17168+    3069+     9216+     458+    1265    0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
